file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_13_56_15_Static_10_14.png,6,Uniform,2012,12,5,13,56,15,Static,10,14,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_7_46_Checkerboard_7_410_20.png,6,Uniform,2012,12,5,14,7,46,Checkerboard7,410,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_58_6_Static_10_24.png,6,Uniform,2012,12,5,13,58,6,Static,10,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_39_4_Static_410_5.png,6,Uniform,2012,12,5,13,39,4,Static,410,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_11_39_Checkerboard_7_610_13.png,6,Uniform,2012,12,5,14,11,39,Checkerboard7,610,13,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_45_22_Checkerboard_4_10_11.png,6,Uniform,2012,12,5,13,45,22,Checkerboard4,10,11,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_11_6_Checkerboard_7_610_10.png,6,Uniform,2012,12,5,14,11,6,Checkerboard7,610,10,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_2_27_Checkerboard_4_410_24.png,6,Uniform,2012,12,5,15,2,27,Checkerboard4,410,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_39_60_Static_410_10.png,6,Uniform,2012,12,5,13,39,60,Static,410,10,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_45_11_Checkerboard_4_10_10.png,6,Uniform,2012,12,5,13,45,11,Checkerboard4,10,10,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_58_31_Checkerboard_4_410_6.png,6,Uniform,2012,12,5,14,58,31,Checkerboard4,410,6,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_52_13_Uniform_20.png,6,Uniform,2012,12,5,13,52,13,Uniform,nan,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_45_44_Checkerboard_4_10_13.png,6,Uniform,2012,12,5,13,45,44,Checkerboard4,10,13,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_43_13_Checkerboard_2_210_11.png,6,Uniform,2012,12,5,14,43,13,Checkerboard2,210,11,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_0_59_Checkerboard_4_410_17.png,6,Uniform,2012,12,5,15,0,59,Checkerboard4,410,17,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_6_11_Checkerboard_2_410_17.png,6,Uniform,2012,12,5,15,6,11,Checkerboard2,410,17,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_39_1_Checkerboard_7_10_17.png,6,Uniform,2012,12,5,14,39,1,Checkerboard7,10,17,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_47_24_Checkerboard_4_10_22.png,6,Uniform,2012,12,5,13,47,24,Checkerboard4,10,22,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_59_56_Checkerboard_4_410_13.png,6,Uniform,2012,12,5,14,59,56,Checkerboard4,410,13,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_50_10_Uniform_9.png,6,Uniform,2012,12,5,13,50,10,Uniform,nan,9,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_49_25_Checkerboard_4_210_16.png,6,Uniform,2012,12,5,14,49,25,Checkerboard4,210,16,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_6_39_Checkerboard_7_410_14.png,6,Uniform,2012,12,5,14,6,39,Checkerboard7,410,14,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_15_11_Checkerboard_2_610_4.png,6,Uniform,2012,12,5,14,15,11,Checkerboard2,610,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_38_5_Checkerboard_7_10_12.png,6,Uniform,2012,12,5,14,38,5,Checkerboard7,10,12,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_3_34_Checkerboard_2_410_3.png,6,Uniform,2012,12,5,15,3,34,Checkerboard2,410,3,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_4_59_Checkerboard_7_410_5.png,6,Uniform,2012,12,5,14,4,59,Checkerboard7,410,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_29_16_Static_210_24.png,6,Uniform,2012,12,5,14,29,16,Static,210,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
